_source,cust_guid,history,md5,model,notes,observed,platform,related_intent,requesttype,routed,subtags,tag,tagsource,text,timestamp,weight
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 155}",111624431812072008Comcast.USR7JR,,31b9c9328d993aa4d133f6fcab84e74c,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",ATT,,,,AT,,AW,"{'flavor': 'week20170129', 'record': 181, 'corpus': 'baseline'}",How can I best connect my iPhone to WiFi  while on the go? I was told to download the Xfinity app.,2017-01-30T03:12:56.902000+00:00,0.001
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 156}",193219331017062016Comcast.cust,,329986ae192b4bd396a73085e1beecfb,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",RHD,,,,RH,,RHD,"{'flavor': 'week20170129', 'record': 216, 'corpus': 'baseline'}",Security cameras,2017-01-29T18:39:33.122000+00:00,0.25
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 157}",135715440409072014Comcast.USRIMS,,33f408cf24b5d746280e9e06ef380b67,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",R,,,,RT,,R,"{'flavor': 'week20170129', 'record': 230, 'corpus': 'baseline'}",Sign out,2017-02-03T23:55:54.976000+00:00,0.75
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 158}",210844391231012017Comcast.cust,,389b9be6786b5ef6e6b6a73f8621e70b,known_good,"[""retagging per comcast tags on sampling 2/21/2017""]",LLF,,,,LLF,,LLF,"{'flavor': 'week20170129', 'record': 432, 'corpus': 'baseline'}",What is my username,2017-02-02T22:44:42.950000+00:00,0.001
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 159}",437510471020112015Comcast.cust,,3cf181aac4f2bf2e4ac8165f11036006,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",LL,,,,L,,LL,"{'flavor': 'week20170129', 'record': 68, 'corpus': 'baseline'}",My account username,2017-01-31T00:14:06.028000+00:00,0.001
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 160}",283804410609072015Comcast.cust,,3d02a0ca509c9899ba788f64cf393020,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",BS,,,,RH,,BS,"{'flavor': 'week20170129', 'record': 107, 'corpus': 'baseline'}",Adding home security,2017-01-30T02:41:02.027000+00:00,0.625
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 161}",322816170317032014Comcast.USRIMS,,3f0d8acdc32e131feedd1f8ef1e893dc,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",RTG,,,,RT,,RTG,"{'flavor': 'week20170129', 'record': 158, 'corpus': 'baseline'}",Disney,2017-01-30T00:34:42.333000+00:00,0.384615385
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 162}",528320040225034621Comcast.USROSP,,3fb64f5d481e4e126f748bd4ec9024ce,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",RH,,,,RH,,RHD,"{'flavor': 'week20170129', 'record': 118, 'corpus': 'baseline'}",Battery for door sensor,2017-02-01T20:20:54.707000+00:00,0.25
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 163}",185930111206112016Comcast.cust,,4255287e7f2b4857ca4090d51601ccd6,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",LPR,,,,L,,LPR,"{'flavor': 'week20170129', 'record': 201, 'corpus': 'baseline'}",Remember my password?,2017-01-29T16:32:34.328000+00:00,0.142857143
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 164}",083053411922122010Comcast.USR2JR,,429c98021ac405501c5f32c0c2fa55af,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",R,,,,RH,,ATT,"{'flavor': 'week20170129', 'record': 44, 'corpus': 'baseline'}",I'm at home and there is an error of available to watch at home only,2017-01-31T00:31:53.004000+00:00,0.272727273
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 165}",152242190323102016Comcast.cust,,43c184631206523926fae3f922b89f9c,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",RTG,,,,RT,,RTG,"{'flavor': 'week20170129', 'record': 23, 'corpus': 'baseline'}",How to stream,2017-01-30T02:50:35.448000+00:00,0.384615385
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 166}","756710350410042013Comcast.USRIMS,990238391113102015Comcast.cust,298855540422112016Comcast.cust",,"444062146ce37648917b50fafd70d755,ab1a30336ca581b3285b38ccd1548f52,d63cd3ecf3e3dbdb2c15cef5a97d58cc",known_good,"[""retagging per comcast tags on sampling 2/21/2017""]",RTP,,,,RTP,,RTP,"{'flavor': 'week20170129', 'record': 390, 'corpus': 'baseline'}",Picture frozen,"2017-02-01T23:55:30.847000+00:00,2017-02-02T02:14:11.695000+00:00,2017-02-05T04:17:17.942000+00:00",0.75
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 167}",474851150212102015Comcast.cust,,4762c6be867e19ea56a5488e3ec3c132,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",R,,,,LL,,RIW,"{'flavor': 'week20170129', 'record': 136, 'corpus': 'baseline'}",Can't login to 10.0.0.1 admin tool,2017-02-01T00:29:32.598000+00:00,0.75
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 168}",508635140515032016Comcast.cust,,48150357f8c086485e806eb96f0efb96,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",L,,,,L,,LPR,"{'flavor': 'week20170129', 'record': 21, 'corpus': 'baseline'}",How to reset my account password,2017-02-03T05:59:25.563000+00:00,0.142857143
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 169}","693610200206122016Comcast.cust,693610200206122016Comcast.cust",,"4a2a07a1de1e44fdb296d417ce06fa47,55329603051ae7dfc572f79f78b49d5e",ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",LLF,,,,LLF,,LL,"{'flavor': 'week20170129', 'record': 271, 'corpus': 'baseline'}",What's my username,"2017-01-30T22:27:16.996000+00:00,2017-01-30T22:26:34.415000+00:00",0.002
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 170}",126635450830042014Comcast.USRIMS,,4ab56d88e2fdf98faebb408b4622fb4d,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",ATR,,,,AT,,ATR,"{'flavor': 'week20170129', 'record': 202, 'corpus': 'baseline'}",Remote app,2017-02-02T03:34:32.955000+00:00,0.001
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 171}",9862513127220530102009FM,,4ba726311b9e0b09d74281459f1610a1,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",BB,,,,RT,,B,"{'flavor': 'week20170129', 'record': 25, 'corpus': 'baseline'}",How to view movies rented recently?,2017-01-29T16:15:54.853000+00:00,0.857142857
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 172}",549414290828092016Comcast.cust,,4c707913ef738539bb697ee6d4bee21a,known_good,"[""retagging per comcast tags on sampling 2/21/2017""]",RH,,,,RH,,RH,"{'flavor': 'week20170129', 'record': 345, 'corpus': 'baseline'}",home security,2017-01-29T23:52:49.540000+00:00,0.25
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 173}",356451000013112008Comcast.USR2JR,,505db0e8effbc99f6a1278d44c753c09,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",RT,,,,RT,,RT,"{'flavor': 'week20170129', 'record': 227, 'corpus': 'baseline'}",Setup new tv,2017-01-29T23:20:21.755000+00:00,0.222222222
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 174}","144603120111022015Comcast.USRIMS,468403110204112015Comcast.cust,177759202231012012Comcast.USR6JR,948651290211032016Comcast.cust",,"51547ec2e1cc97a743c5d7803c15405d,e427cb4cf39a44ee221c007d63fe67ad,37ecaef4aee507efd7c89515f13cbf0a,16f3d2ba5abf1c1e2296888c508343cb",known_good,"[""retagging per comcast tags on sampling 2/21/2017""]",RH,,,,RH,,RH,"{'flavor': 'week20170129', 'record': 345, 'corpus': 'baseline'}",Home security,"2017-02-03T06:25:48.406000+00:00,2017-01-30T03:05:42.702000+00:00,2017-02-02T23:51:37.432000+00:00,2017-01-29T18:06:11.991000+00:00",1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 175}",917838231004122013Comcast.USRIMS,,59d0c6628407ea603ae73d9a5edf77f5,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",RT,,,,RT,,RTG,"{'flavor': 'week20170129', 'record': 260, 'corpus': 'baseline'}",Watch a tv series,2017-01-31T02:35:16.294000+00:00,0.384615385
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 176}",133129352230012008Comcast.USR9JR,,5a47f211439bd9de69b2a5701ec0f1c5,known_good,"[""retagging per comcast tags on sampling 2/21/2017""]",RT,,,,RT,,RT,"{'flavor': 'week20170129', 'record': 416, 'corpus': 'baseline'}",Tv not working,2017-01-31T17:31:37.878000+00:00,0.222222222
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 177}",357144172304122010Comcast.USR8JR,,5b08be215c19bfccb4c4ffcf919922e7,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",LPR,,,,L,,LP,"{'flavor': 'week20170129', 'record': 434, 'corpus': 'baseline'}",What's my password,2017-02-03T22:28:14.002000+00:00,0.666666667
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 178}",632638530829102016Comcast.cust,,5b819eee2cef4c5367c4c09412b74170,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",RIW,,,,RT,,RIW,"{'flavor': 'week20170129', 'record': 12, 'corpus': 'baseline'}",How many connections,2017-02-05T04:36:17.701000+00:00,0.75
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 179}",165652260228122016Comcast.cust,,5b83c3ef6a859258136ad21521d04b5a,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",ATT,,,,AT,,ATT,"{'flavor': 'week20170129', 'record': 190, 'corpus': 'baseline'}",How can I watch TV on my iPad mini,2017-02-02T23:06:51.855000+00:00,0.272727273
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 180}",193219331017062016Comcast.cust,,5b879a9b1e4db8366920fa4e4ef8dab8,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",RHD,,,,RH,,BS,"{'flavor': 'week20170129', 'record': 49, 'corpus': 'baseline'}",Interested in the security cameras for my home,2017-01-29T18:40:10.210000+00:00,0.625
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 181}",036942061709122004Comcast.USR2JR,,5ea32c8c19a7fb4520a036c816395ef5,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",LL,,,,LL,,L,"{'flavor': 'week20170129', 'record': 53, 'corpus': 'baseline'}",Is username  case sensitive,2017-02-05T01:58:58.889000+00:00,0.001
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 182}",191215090031012009Comcast.USR4JR,,5f8445fb0d3cf99f748ca8e2cd0930b1,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",RTG,,,,RT,,R,"{'flavor': 'week20170129', 'record': 89, 'corpus': 'baseline'}",Opening ports,2017-02-03T18:37:47.911000+00:00,0.75
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 183}",212522440201072015Comcast.cust,,60b85e03c1ffaebeaff9f4a4449f1ffb,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",RHD,,,,RH,,RHD,"{'flavor': 'week20170129', 'record': 63, 'corpus': 'baseline'}",Motion sensor,2017-01-30T23:17:48.179000+00:00,0.25
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 184}",411425100922012017Comcast.cust,,60cbb6da502a80e637acc2310338881c,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",RTD,,,,RT,,RTD,"{'flavor': 'week20170129', 'record': 91, 'corpus': 'baseline'}",Ordering shows,2017-01-31T15:18:03.837000+00:00,0.8
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 185}",475020500717062016Comcast.cust,,657b85be082d338e41990f485f1dcb49,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",RTG,,,,RT,,BST,"{'flavor': 'week20170129', 'record': 170, 'corpus': 'baseline'}",Get hbo,2017-01-30T01:42:00.760000+00:00,0.857142857
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 186}",943343221210072014Comcast.USRIMS,,65ca3cb89b30ff41987e9a237914c43c,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",R,,,,RT,,RT,"{'flavor': 'week20170129', 'record': 46, 'corpus': 'baseline'}",I'm having signal problems in all 5 Cable boxes,2017-01-31T19:09:30.759000+00:00,0.222222222
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 187}",856104400409052016Comcast.cust,,6668dabe1e30e5cf483f621462828510,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",RTN,,,,RT,,RTN,"{'flavor': 'week20170129', 'record': 120, 'corpus': 'baseline'}",Black with audio,2017-02-04T01:44:34.359000+00:00,0.001
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 188}",379940350917102015Comcast.cust,"RT,RTG",685d9c8355a7db95ccd7ed331bac4342,known_good,"[""retagging per comcast tags on sampling 2/21/2017"", ""retagged by fwph on 2017-03-09""]",RTG,,,,RT,[],RTG,"{'corpus': 'conflicts-20170309.csv', 'flavor': '', 'record': 2}",HBO,2017-02-02T17:36:39.092000+00:00,0.222222222
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 189}",776533210127032016Comcast.cust,,68aac9c92934a21449ec1f0655df40a6,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",RH,,,,RH,,RH,"{'flavor': 'week20170129', 'record': 110, 'corpus': 'baseline'}",Alarm certificate,2017-02-02T00:24:43.379000+00:00,0.25
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 190}",687210590523092016Comcast.cust,,6b2149c2e68fb2ed1384f20d87947bb9,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",ATT,,,,AT,,ATT,"{'flavor': 'week20170129', 'record': 288, 'corpus': 'baseline'}",Xfinity tv app issues,2017-02-03T01:55:20.116000+00:00,0.272727273
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 191}",187427021711032011Comcast.USR4JR,,718ce29675fceb6820e2ceb94d2f02eb,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",ATT,,,,AT,,RTG,"{'flavor': 'week20170129', 'record': 132, 'corpus': 'baseline'}",Can I watch playboy on xfinity tv app?,2017-02-02T04:29:38.110000+00:00,0.384615385
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 192}",182120040111085400COMCAST.USRMIG,,71a747acef66ec51c51562914d32948c,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",R,,,,RH,,RIW,"{'flavor': 'week20170129', 'record': 6, 'corpus': 'baseline'}",How do I set up iPad to home network?,2017-01-30T20:37:58.829000+00:00,0.75
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 193}",944940150128102016Comcast.cust,,764f985ff924a89bf1f1383eae1acd2f,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",RT,,,,RT,,RTG,"{'flavor': 'week20170129', 'record': 9, 'corpus': 'baseline'}",How do I use Roku tv to watch,2017-01-30T21:49:52.284000+00:00,0.384615385
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 194}",468652210107062015Comcast.cust,,769c1e9f639b5621ffcef1d7f250bf73,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",RTR,,,,RT,,RTR,"{'flavor': 'week20170129', 'record': 96, 'corpus': 'baseline'}",Programming remote to turn cable box on and off,2017-02-01T23:16:10.257000+00:00,0.666666667
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 195}",792529020924122016Comcast.cust,,79a3f99bf11d3c708e689d860939cb78,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",BSI,,,,L,,RIW,"{'flavor': 'week20170129', 'record': 139, 'corpus': 'baseline'}",Change my modem and router password,2017-02-01T23:18:38.947000+00:00,0.75
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 196}",763113140120122016Comcast.cust,,7a9e9513c02fd576ee46e6c8183440e9,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",RTG,,,,RT,,O,"{'flavor': 'week20170129', 'record': 147, 'corpus': 'baseline'}",Comment letter,2017-01-30T20:47:51.328000+00:00,0.666666667
"{'corpus': 'ccsrsprod', 'flavor': 'week20170129a', 'record': 197}",171720040111081444COMCAST.USRMIG,,7c408c03ac668089bf5ab78acb71414c,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 2/21/2017""]",RT,,,,RT,,BS,"{'flavor': 'week20170129', 'record': 7, 'corpus': 'baseline'}",How do I subscribed to see him THD included with my subscription,2017-02-03T14:34:01.976000+00:00,0.625
"{'corpus': 'ccsrsprod', 'flavor': 'week20170205a', 'record': 0}","285637122111052011Comcast.USR7JR,462720061208113034COMCAST.USRMIG,470507251029012017Comcast.cust,752518000621092016Comcast.cust,279310050329042013Comcast.USRIMS,100453512011102007Comcast.USR2JR,287211460704012017Comcast.cust",,"55cca36415ade4e005cb31e4628a9547,bdd688a3318c5a55cbdff3ef69047792,97b67658934a27b874c7772aca79f33d,6fee2c8b7491cbe7f55b000add7d1dbc,f3e94c2209248dbc1b3836a7d0577dac,110527f69d0c3d2122e27d8779e0bce3,a04b1522d712c9d39e2628777ef30a52",known_good,"[""retagging per comcast tags on sampling 3/02/2017""]",T,,,,T,,T,"{'flavor': '', 'record': 246, 'corpus': '/Users/andymaheshw/data/sampling/comcast-srs/20170205-20170212/received_from_client/Baseline_20170205.csv'}",What Can I Ask?,"2017-02-10T18:14:25.595000+00:00,2017-02-11T18:54:02.327000+00:00,2017-02-08T01:07:48.676000+00:00,2017-02-05T22:59:52.226000+00:00,2017-02-08T01:38:17.023000+00:00,2017-02-10T03:32:53.884000+00:00,2017-02-05T23:56:00.449000+00:00",7.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170205a', 'record': 1}","166136110227052014Comcast.USRIMS,043525091811022009Comcast.USR2JR,128247142323012005Comcast.USR2JR,086004061728082008Comcast.USR8JR,846535551003112016Comcast.cust,542149390309102014Comcast.cust","BPP,BP,BPP,BP","747c7c268e49b6eb291cb9729ee9523c,6d8f3987e419687eae79f4e485fc496f,2554d53d43638e309cfcf078e221b2df,a473b25214568b89eb49ee568cff3f23,0b6c557ee5eb9d4850cb1045eca3aeca,f03f9433309b638cfb9f75716b6ddd8f",known_good,"[""retagging per comcast tags on sampling 3/02/2017"", ""2017-08-24T18:53:08.371081: autotagged by lisa"", ""2017-08-25T13:57:30.974324: autotagged by lisa"", ""2017-08-25T16:18:57.266853: autotagged by lisa"", ""2017-09-12T17:28:20.098828: autotagged by willwolf""]",BPP,,,,BPP,,BPP,"('comcast-tagsource20170907.csv', '', 267)",Pay My Bill,"2017-02-11T14:12:00.943000+00:00,2017-02-09T01:44:05.657000+00:00,2017-02-09T17:38:27.589000+00:00,2017-02-05T23:00:22.925000+00:00,2017-02-06T23:31:28.532000+00:00,2017-02-06T00:42:31.514000+00:00",6.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170205a', 'record': 2}","807136160831012017Comcast.cust,708230240304082016Comcast.cust,705836170808052014Comcast.USRIMS",,"b3a91aff3e2705e7bb858fe952858621,2ecba6babef55ed215fab364366cc3ee,fc4afce7b870d8ab274b88c1aa8ec1a3",known_good,"[""retagging per comcast tags on sampling 3/02/2017""]",BR,,,,BR,,BR,"{'flavor': '', 'record': 249, 'corpus': '/Users/andymaheshw/data/sampling/comcast-srs/20170205-20170212/received_from_client/Baseline_20170205.csv'}",Equipment Returns,"2017-02-07T04:33:06.659000+00:00,2017-02-10T21:39:22.987000+00:00,2017-02-05T18:05:26.127000+00:00",2.25
"{'corpus': 'ccsrsprod', 'flavor': 'week20170205a', 'record': 3}","0852733546040623102009FM,157741320403112016Comcast.cust",,"b7f5b69b111930badc894c96756b39ed,d67f1eff31a9f1a31458115c61855c7e",known_good,"[""retagging per comcast tags on sampling 3/02/2017""]",RI,,,,RI,,RI,"{'flavor': '', 'record': 255, 'corpus': '/Users/andymaheshw/data/sampling/comcast-srs/20170205-20170212/received_from_client/Baseline_20170205.csv'}",Internet,"2017-02-07T00:08:33.957000+00:00,2017-02-09T05:58:20.522000+00:00",0.8
"{'corpus': 'ccsrsprod', 'flavor': 'week20170205a', 'record': 4}","319655281101032016Comcast.cust,668042100315032014Comcast.PRVSRV",,"5924aa8ca060320d3ca9316d86526b28,6993aa5d36bdd821f83f7360e3f817d9",known_good,"[""retagging per comcast tags on sampling 3/02/2017""]",BB,,,,BB,,BB,"{'flavor': '', 'record': 248, 'corpus': '/Users/andymaheshw/data/sampling/comcast-srs/20170205-20170212/received_from_client/Baseline_20170205.csv'}",View My Bill,"2017-02-09T21:43:10.070000+00:00,2017-02-08T16:27:40.602000+00:00",0.47619047619047616
"{'corpus': 'ccsrsprod', 'flavor': 'week20170205a', 'record': 5}",345958280813092015Comcast.cust,,61a81ee25dfc54a35cecd58dffba143f,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 3/02/2017""]",OS,,,,OS,,O,"{'flavor': '', 'record': 82, 'corpus': '/Users/andymaheshw/data/sampling/comcast-srs/20170205-20170212/received_from_client/Baseline_20170205.csv'}",200-100-0001 number,2017-02-08T02:39:39.785000+00:00,0.4117647058823529
"{'corpus': 'ccsrsprod', 'flavor': 'week20170205a', 'record': 6}",508904430718102016Comcast.cust,,c41f57771e796488ecf2951deb355a91,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 3/02/2017""]",BST,,,,BST,,BST,"{'flavor': '', 'record': 86, 'corpus': '/Users/andymaheshw/data/sampling/comcast-srs/20170205-20170212/received_from_client/Baseline_20170205.csv'}",Add NHL center ice,2017-02-11T23:33:24.340000+00:00,0.5384615384615384
"{'corpus': 'ccsrsprod', 'flavor': 'week20170205a', 'record': 7}",517044481104092015Comcast.cust,,6b583760f7864cceb3074f3bcea529ec,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 3/02/2017""]",BST,,,,BST,,BST,"{'flavor': '', 'record': 266, 'corpus': '/Users/andymaheshw/data/sampling/comcast-srs/20170205-20170212/received_from_client/Baseline_20170205.csv'}",Add a channel,2017-02-12T04:55:58.045000+00:00,0.5384615384615384
"{'corpus': 'ccsrsprod', 'flavor': 'week20170205a', 'record': 8}",678736560214062015Comcast.cust,,01bb029bc315dea3fa3fa33ff018fd86,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 3/02/2017""]",BST,,,,BST,,BST,"{'flavor': '', 'record': 85, 'corpus': '/Users/andymaheshw/data/sampling/comcast-srs/20170205-20170212/received_from_client/Baseline_20170205.csv'}",Add another tv,2017-02-05T22:10:19.233000+00:00,0.5384615384615384
"{'corpus': 'ccsrsprod', 'flavor': 'week20170205a', 'record': 9}",434826160628012012Comcast.cust,,47387ae78d3c3b8f0cecf03564c82221,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 3/02/2017""]",BST,,,,BST,,BST,"{'flavor': '', 'record': 252, 'corpus': '/Users/andymaheshw/data/sampling/comcast-srs/20170205-20170212/received_from_client/Baseline_20170205.csv'}",Add channel,2017-02-06T23:09:10.588000+00:00,0.5384615384615384
"{'corpus': 'ccsrsprod', 'flavor': 'week20170205a', 'record': 10}",645611271024082016Comcast.cust,,3f74914cb4641f78ac64ccabe7e0e14e,known_good,"[""retagging per comcast tags on sampling 3/02/2017""]",BS,,,,BS,,BS,"{'flavor': '', 'record': 281, 'corpus': '/Users/andymaheshw/data/sampling/comcast-srs/20170205-20170212/received_from_client/Baseline_20170205.csv'}",Add new service,2017-02-09T00:51:35.001000+00:00,0.7777777777777778
"{'corpus': 'ccsrsprod', 'flavor': 'week20170205a', 'record': 11}",535307400919102014Comcast.USRIMS,,a263e24d2f937804bffdffc89054221b,known_good,"[""retagging per comcast tags on sampling 3/02/2017""]",ST,,,,ST,,ST,"{'flavor': '', 'record': 253, 'corpus': '/Users/andymaheshw/data/sampling/comcast-srs/20170205-20170212/received_from_client/Baseline_20170205.csv'}",Appointment,2017-02-06T20:36:50.370000+00:00,0.75
"{'corpus': 'ccsrsprod', 'flavor': 'week20170205a', 'record': 12}",603842431009022017Comcast.cust,,5b73a7d7d0925fb518ac6aa75b45f48f,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 3/02/2017""]",O,,,,O,,O,"{'flavor': '', 'record': 90, 'corpus': '/Users/andymaheshw/data/sampling/comcast-srs/20170205-20170212/received_from_client/Baseline_20170205.csv'}",Ayu,2017-02-10T07:20:22.480000+00:00,0.4117647058823529
"{'corpus': 'ccsrsprod', 'flavor': 'week20170205a', 'record': 13}",362325520208042009Comcast.USR0JR,,67d1ccec67cf3504c6e80882f8547d83,known_good,"[""retagging per comcast tags on sampling 3/02/2017""]",BB,,,,BB,,BB,"{'flavor': '', 'record': 267, 'corpus': '/Users/andymaheshw/data/sampling/comcast-srs/20170205-20170212/received_from_client/Baseline_20170205.csv'}",Billing,2017-02-10T12:55:16.999000+00:00,0.23809523809523808
"{'corpus': 'ccsrsprod', 'flavor': 'week20170205a', 'record': 14}",361931591918032010Comcast.USR7JR,,aceafe7308742f5cbf44b37ef326f976,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 3/02/2017""]",LC,,,,RVF,,LC,"{'flavor': '', 'record': 96, 'corpus': '/Users/andymaheshw/data/sampling/comcast-srs/20170205-20170212/received_from_client/Baseline_20170205.csv'}",Block purchases,2017-02-09T15:05:11.125000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170205a', 'record': 15}",035720040111082157COMCAST.USRMIG,,31a327e5b6aeff0d4da5ba6442e088ff,known_good,"[""retagging per comcast tags on sampling 3/02/2017""]",OS,,,,OS,,OS,"{'flavor': '', 'record': 287, 'corpus': '/Users/andymaheshw/data/sampling/comcast-srs/20170205-20170212/received_from_client/Baseline_20170205.csv'}",Call Comcast,2017-02-08T04:00:18.531000+00:00,0.4166666666666667
"{'corpus': 'ccsrsprod', 'flavor': 'week20170205a', 'record': 16}",950653340710052015Comcast.USRIMS,,c7b66df6e74c2a4aa57d826b729269b3,ccSklearnLogitEnsemble,"[""retagging per comcast tags on sampling 3/02/2017""]",OS,,,,OS,,OS,"{'flavor': '', 'record': 268, 'corpus': '/Users/andymaheshw/data/sampling/comcast-srs/20170205-20170212/received_from_client/Baseline_20170205.csv'}",Call customer service,2017-02-06T19:45:32.904000+00:00,0.4166666666666667
